epsilon,mean_bias_mu,std_bias_mu,mean_bias_sig2,std_bias_sig2,mean_acc_rate
0.20000000,0.00564545,0.00075579,0.01094082,0.00096996,0.01656736
0.40000000,0.01913050,0.00076475,0.03705025,0.00093260,0.04152618
0.60000000,0.03692881,0.00082418,0.07007422,0.00134210,0.06611405
0.80000000,0.05559666,0.00099817,0.10551345,0.00134964,0.09213627
1.00000000,0.07520804,0.00174733,0.14072714,0.00210320,0.11951716
1.20000000,0.09557909,0.00185741,0.17691640,0.00259220,0.14733006
1.50000000,0.12515507,0.00138086,0.22999630,0.00088566,0.19003191
2.00000000,0.17661024,0.00170069,0.31766809,0.00296230,0.26108482
5.00000000,0.43525016,0.00439733,0.67857012,0.00840048,0.54260584
